database,query_id,query_name,run_number,parameters,database_time_ms,processing_time_ms,total_time_ms,row_count,success,error_message,notes
Cassandra,1,relevant-business,1,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",553.5253,165.0233,718.5487,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,2,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",556.831,147.9222,704.7533,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,3,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",512.9938,143.4953,656.4892,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,4,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",535.7436,134.2654,670.0091,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,5,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",563.5512,167.064,730.6153,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,6,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",504.2798,155.4785,659.7583,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,7,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",530.1775,123.8343,654.0119,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,8,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",521.5517,153.696,675.2477,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,9,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",512.2804,125.5087,637.7892,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,1,relevant-business,10,"{""business_result_limit"":1,""latitude"":29.9507416316,""longitude"":-90.0704155423}",493.0684,145.0364,638.1049,1,True,,The business table is scanned and distance is calculated in Python.
Cassandra,2,recent-business-tips,1,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.2517,0.056,1.3078,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,2,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.1584,0.0549,1.2134,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,3,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.0912,0.0526,1.1438,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,4,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.0236,0.0721,1.0957,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
